USN,SEMESTER,SUBJECT CODE,SUBJECT NAME,"IAT1
",IAT2,IA FINAL MARKS,SUBJECT CODE,SUBJECT NAME,"IAT1
",IAT2,IA FINAL MARKS,SUBJECT CODE,SUBJECT NAME,"IAT1
",IAT2,IA FINAL MARKS,SUBJECT CODE,SUBJECT NAME,"IAT1
",IAT2,IA FINAL MARKS
1CR23IS041,6,BCS602,Machine Learning,48,,,BIS601,Full Stack Development,48,,,BIS613D ,CCS,45,,,BET654A,TRES(OE),47,,
1CR23IS042,6,BCS602,Machine Learning,48,,,BIS601,Full Stack Development,48,,,BIS613D ,CCS,42,,,BET654A,TRES(OE),50,,
1CR23IS043,6,BCS602,Machine Learning,46,,,BIS601,Full Stack Development,45,,,BIS613D ,CCS,35,,,BET654A,TRES(OE),50,,
1CR23IS045,6,BCS602,Machine Learning,43,,,BIS601,Full Stack Development,37,,,BIS613D ,CCS,40,,,BET654A,TRES(OE),41,,
1CR23IS046,6,BCS602,Machine Learning,30,,,BIS601,Full Stack Development,34,,,BIS613D ,CCS,36,,,BET654A,TRES(OE),37,,
1CR23IS047,6,BCS602,Machine Learning,NE,,,BIS601,Full Stack Development,0,,,BIS613D ,CCS,AB,,,BET654A,TRES(OE),0,,
1CR23IS048,6,BCS602,Machine Learning,38,,,BIS601,Full Stack Development,38,,,BIS613D ,CCS,34,,,BET654A,TRES(OE),39,,
1CR23IS049,6,BCS602,Machine Learning,AB,,,BIS601,Full Stack Development,0,,,BIS613D ,CCS,AB,,,BET654A,TRES(OE),0,,
1CR23IS050,6,BCS602,Machine Learning,40,,,BIS601,Full Stack Development,41,,,BIS613D ,CCS,32,,,BET654A,TRES(OE),50,,
1CR23IS051,6,BCS602,Machine Learning,43,,,BIS601,Full Stack Development,42,,,BIS613D ,CCS,40,,,BET654A,TRES(OE),47,,
1CR23IS052,6,BCS602,Machine Learning,38,,,BIS601,Full Stack Development,31,,,BIS613D ,CCS,39,,,BET654A,TRES(OE),50,,
1CR23IS053,6,BCS602,Machine Learning,NE,,,BIS601,Full Stack Development,0,,,BIS613D ,CCS,AB,,,BET654A,TRES(OE),0,,
1CR23IS054,6,BCS602,Machine Learning,47,,,BIS601,Full Stack Development,25,,,BIS613D ,CCS,38,,,BET654A,TRES(OE),46,,
1CR23IS055,6,BCS602,Machine Learning,NE,,,BIS601,Full Stack Development,43,,,BIS613D ,CCS,33,,,BET654A,TRES(OE),50,,
1CR23IS056,6,BCS602,Machine Learning,30,,,BIS601,Full Stack Development,41,,,BIS613D ,CCS,29,,,BET654A,TRES(OE),47,,
1CR23IS057,6,BCS602,Machine Learning,47,,,BIS601,Full Stack Development,47,,,BIS613D ,CCS,38,,,BET654A,TRES(OE),48,,
1CR23IS058,6,BCS602,Machine Learning,36,,,BIS601,Full Stack Development,37,,,BIS613D ,CCS,33,,,BET654A,TRES(OE),48,,
1CR23IS059,6,BCS602,Machine Learning,45,,,BIS601,Full Stack Development,34,,,BIS613D ,CCS,AB,,,BET654A,TRES(OE),43,,
1CR23IS060,6,BCS602,Machine Learning,38,,,BIS601,Full Stack Development,34,,,BIS613D ,CCS,30,,,BET654A,TRES(OE),48,,
1CR23IS061,6,BCS602,Machine Learning,45,,,BIS601,Full Stack Development,47,,,BIS613D ,CCS,32,,,BET654A,TRES(OE),49,,
1CR23IS062,6,BCS602,Machine Learning,32,,,BIS601,Full Stack Development,40,,,BIS613D ,CCS,28,,,BET654A,TRES(OE),49,,
1CR23IS063,6,BCS602,Machine Learning,30,,,BIS601,Full Stack Development,38,,,BIS613D ,CCS,28,,,BET654A,TRES(OE),40,,
1CR23IS064,6,BCS602,Machine Learning,38,,,BIS601,Full Stack Development,45,,,BIS613D ,CCS,39,,,BET654A,TRES(OE),50,,
1CR23IS065,6,BCS602,Machine Learning,AB,,,BIS601,Full Stack Development,0,,,BIS613D ,CCS,AB,,,BET654A,TRES(OE),14,,
1CR23IS066,6,BCS602,Machine Learning,37,,,BIS601,Full Stack Development,45,,,BIS613D ,CCS,17,,,BET654A,TRES(OE),44,,
1CR23IS134,6,BCS602,Machine Learning,41,,,BIS601,Full Stack Development,42,,,BIS613D ,CCS,28,,,BET654A,TRES(OE),43,,
1CR23IS203,6,BCS602,Machine Learning,49,,,BIS601,Full Stack Development,49,,,BIS613D ,CCS,41,,,BET654A,TRES(OE),50,,
